year,state,chamber,district,metric,value,pct
2022,AZ,,23,total_vap,169035,100
2022,AZ,,23,trump_2020,,43.01
2022,AZ,,23,two_plus_vap,3663,2.17
2022,AZ,,23,white_vap,49191,29.1
2022,AZ,,24,asian_vap,4783,2.92
2022,AZ,,24,biden_2020,,65.1
2022,AZ,,24,black_vap,11913,7.27
2022,AZ,,24,hispanic_vap,100328,61.24
2022,AZ,,24,native_vap,2168,1.32
2022,AZ,,24,other_vap,577,0.35
2022,AZ,,24,pacisl_vap,285,0.17
2022,AZ,,24,pvi,D+24.7,
2022,AZ,,24,total_pop,234992,
2022,AZ,,24,total_vap,163820,100
2022,AZ,,24,trump_2020,,33.19
2022,AZ,,24,two_plus_vap,3558,2.17
2022,AZ,,24,white_vap,40208,24.54
2022,AZ,,25,asian_vap,3384,1.86
2022,AZ,,25,biden_2020,,37.11
2022,AZ,,25,black_vap,7722,4.25
2022,AZ,,25,hispanic_vap,57642,31.72
2022,AZ,,25,native_vap,1746,0.96
2022,AZ,,25,other_vap,757,0.42
2022,AZ,,25,pacisl_vap,397,0.22
2022,AZ,,25,pvi,R+32.2,
2022,AZ,,25,total_pop,243005,
2022,AZ,,25,total_vap,181727,100
2022,AZ,,25,trump_2020,,61.34
2022,AZ,,25,two_plus_vap,5761,3.17
2022,AZ,,25,white_vap,104318,57.4
2022,AZ,,26,asian_vap,6502,3.84
2022,AZ,,26,biden_2020,,68.55
2022,AZ,,26,black_vap,14315,8.46
2022,AZ,,26,hispanic_vap,95808,56.62
